author,published_at,like_count,text
@chandroosartgalary4484,2026-09-05T14:43:45Z,0,Sreenath Bhasi fans are going to love this
@subairsubi7221,2026-09-05T14:43:16Z,0,Eeh paattinte full version eppo varum
@Kannan-p6s,2026-09-05T14:42:36Z,0,ഡയറക്ഷൻ മികവ് ടീസറിൽ വ്യക്തമായി കാണാം
@noora-f9v,2026-09-05T13:16:26Z,0,The cinematography looks absolutely stunning here
@durgalakshmi8938,2026-09-05T13:13:49Z,0,Padathinte hype ithode vere level aayi
@aaryanari-j3x,2026-09-05T13:13:15Z,0,പാട്ട് പാടിയത് ഭാസി ആണെന്നത് വമ്പൻ സസ്‌പെൻസ് ആയി
@salmandq9501,2026-09-05T13:12:32Z,0,Waiting to experience this movie in theaters
@priyamanu5627,2026-09-05T13:11:25Z,0,Teaser cut super aayi cheythittund
@Varkky-x9v,2026-09-05T13:08:08Z,0,ഒരു കിടിലൻ മ്യൂസിക്കൽ ട്രീറ്റ് പ്രതീഷിക്കാം
@sijoantonty,2026-09-05T13:07:34Z,0,Sreenath Bhasi is back with full power
@govindgopalan918,2026-09-05T13:06:52Z,0,P S Jayhari music eppozhum oru alambhavan aanu
@Vaishnav-t2c,2026-09-05T13:06:11Z,0,ഫ്രെയിമുകൾ ഓരോന്നും കണ്ണിന് കുളിർമ നൽകുന്നു
@anuapamaanu,2026-09-05T13:05:33Z,0,Shashidhara KM direction supreme quality aanu
@veenasatheesh-l8l,2026-09-05T13:04:59Z,0,Bhasiyude eeh new avatar thakaarthu
@shivashankaran-b9u,2026-09-05T13:04:19Z,0,സിനിമയുടെ പശ്ചാത്തല സംഗീതം വേറെ തലമാണ്
@richumichael5164,2026-09-05T13:03:47Z,0,Superb response guaranteed for this movie
@shambushambu4790,2026-09-05T13:03:14Z,0,Teaser kaanumbol thanne ithu hit aakumennu urappanu
@achuvaydiaruparambil7672,2026-09-05T13:02:04Z,0,പ്രതീക്ഷിച്ചതിലും വലിയൊരു അനുഭവമായി മാറും
@royroy5002,2026-09-05T13:01:24Z,0,Top tier production value in every single scene
@koyasvlogs1816,2026-09-05T13:00:48Z,0,Sreenath Bhasiyude paattu kettaal pinne vere onnum vendilla
@sheethal7131,2026-09-05T13:00:12Z,0,തീർച്ചയായും ഇത് തിയേറ്ററുകളിൽ വലിയ തരംഗമുണ്ടാക്കും
@vineethaprasad6163,2026-09-05T12:57:35Z,0,എന്തായാലും പടം പൊളിക്കും എന്ന് ഉറപ്പാണ്
@sriyasaramariyam,2026-09-05T12:57:01Z,0,Directed by Shashidhara KM super excited for this
